,Question,Answer
489,Do you believe in fairies?,I believe in you.
490,Do you believe in a god?,Yes.
491,Do you believe there used to be dragons?,I don't believe you.
492,Who would you want to be with on a desert island?,I would love to be on a beach island.
493,What's the worst show on television?,"I don't know what you're talking about, but I'm pretty sure that's what it's called."
494,Who's your favourite god from ancient history?,He's from Ancient Rome.
495,What was the best thing about your old school?,I don't know what you're talking about.
496,What was the worst thing about your old school?,That's the worst thing I've ever heard.
497,If you could change your name to anything what would your new name be?,It's a new name.
498,Do you watch too much tv?,I don't know what you're talking about.
499,Have you ever planted a tree?,"No, I have not."
500,How often do you wash your ears?,I don't know what you're talking about.
501,Could you go out with someone who had a child from a previous relationship?,That's what I was thinking.
502,What was your first alcoholic drink?,My first drink.
503,What was your first job?,What was your first job?
504,What was your first car? (or what would you like it to be?),I'd like it to be my first car.
505,Who was your first teacher?,He was my first teacher.
506,Where did you go on your first ride on an airplane?,On an airplane.
507,Who was your first best friend?,He was my first friend.
508,What was your first detention for?,What was your first?
509,Who was your first kiss?,My first kiss.
510,What thing that you've made are you most proud of?,I'm pretty proud of you.
511,Could you ever be someones bodygaurd?,That's what I was thinking.
512,Do you like other people buying you clothes?,I don't think I've ever done that.
513,Have you ever brought a present for someone that they hated/disliked?,I've never heard of that.
514,Did you have any pretend or imaginary friends?,I did.
515,Have you ever seen a therapist/shrink?,I have not.
516,Have you ever carved a pumpkin?,I have not.
517,Would you say you are a good or bad influence to others?,"I'm not a good person, but I'm not a good person."
518,Do you prefer giving or recieving gifts/help etc,"I don't know what you're talking about, but I don't think it's worth it."
519,"If you were a member of the spice girls, what would your spice handle be?","I don't know what you're talking about, but I'm pretty sure that's what it's for."
520,If you could join any music group which would you want to join?,I'll join you.
521,What do your parents do?,"I don't know what I'm talking about, but I'm not sure if it's a good idea."
522,If you were a giant mega monster what city would you rampage?,"If you were a giant monster monster, you'd be a giant monster."
523,Did you ever have a treehouse as a kid?,I did.
524,Is your dad an embarassing dancer?,"No, he's my dad."
525,Do you plan to vote in the next election?,I don't think so.
526,If you could replace one bodypart with a super bionic replacement what bodypart and what features would the new bionic replacement have?,"I don't know why you're being down voted, it's a good idea."
527,What if any unusual objects have you swallowed?,That's what I was thinking.
528,When you buy something new do you get a desire to use/play with it even when they dont have any physical application yet?,"I don't get a desire to use it, but I don't think it's worth it."
529,Did you understand the Matrix Trilogy?,"No, I didn't."
530,Would you rather be the fella in a movie who gets the girl or the baddie with all the good lines?,That's what I was thinking.
531,"If you were stinking rich, would you only go to places other rich people went?",That's what I was thinking.
532,Would you rather have a mans top half and a womens bottom half or visa versa?,I'd rather have a woman top half.
533,"Rebound relationships, good or bad?","I don't think it's bad, but it's not like it's a bad thing."
534,Have you ever owned a slinky?,I have not.
535,"Teenage parents, good bad or indifferent?",Yes.
536,Whats the most expensive thing you've ever broken?,"I don't know what you're talking about, but I've never heard of that."
537,"Pirate downloads, good or bad?",I'm pretty sure that's what you're referring to.
538,"Democracy, good or bad?",I'm pretty sure that's what he meant.
539,"Communism, good or bad?",I'm pretty sure that's what you're referring to.
540,Have you ever been electrocuted?,I have not.
541,Have you ever been attacked with a creamy bakery product?,"I have not, but I've never heard of it."
542,Have you ever shawn a sheep?,I have not.
543,Have you ever accidentally set fire to yourself?,I have not.
544,Have you ever eaten a whole tube of pringles by yourself?,I have not.
545,Have you ever been hit on by someone of the same gender?,I have not.
546,"The war in Iraq, good or bad?",The war in Iraq.
547,"The war in Afganistan, good or bad?",I'm pretty sure that's what it's called.
548,Have you ever performed in front of a large audience?,No I haven't.
549,Have you ever eaten anything prepared by a celebrity chef?,I have not.
550,Have you ever been on radio?,"I've been on the radio for a long time, but I've never been on the radio."
551,Did your school make a teatowel that everyone submitted to?,"I'm not sure, but I'm not sure if that's what you meant."
552,Do you have to wear glasses?,"No, I don't wear glasses."
553,Do you bite your nails?,I don't bite my nails.
554,Do you prefer male or female singers voices?,I don't think so.
555,Would you rather be the worlds greatest football player or lover?,I'd rather be the worlds greatest football player in the world.
556,Do you get hayfever?,I don't get it.
557,Do you like your age?,I like you.
558,Whats your favourite physical thing you like about yourself?,I don't know what you're talking about.
559,Whats your least favourite physical thing you like about yourself?,I don't know what you're talking about.
560,"Are you proud, comfortable or ashamed of your body?",I don't know what you're talking about.
561,Whats your favourite personality trait you like about yourself?,"I don't know what you're talking about, but I don't know what you're talking about."
562,Whats your least favourite personality trait you like about yourself?,"I don't know what you're talking about, but I don't know what you're talking about."
563,Have you ever flown first class?,I've never flown first class.
564,How many languages do you speak?,"I'm not a native english speaker, so I'm not a native english speaker."
565,Whats the fastest you've ever driven? (as driver or passenger),I don't know why you're being down voted. It's a good thing.
566,What makes you angry?,What makes you angry?
567,What would you say is your favourite album of all time?,I'm pretty sure that's what you're referring to.
568,Do you dislike hairy people?,I hate hairy people.
569,Are you much of an adventurer?,I am an adventurer.
570,Do you like your own name?,I like your username.
571,Would you ever sign a Prenuptial agreement?,No I would not.
572,How long has your longest ever phone call been?,I've never heard of a phone call call call.
573,Have you ever stolen anything?,No I have not.
574,Could you ever have an affair with a married person?,I'm not sure if you're being sarcastic or not.
575,Could you ever split up a couple for one reason or another?,I don't think I've ever split up.
576,What is your family christmases like?,"I'm not sure, but I'm not sure if that's what you're referring to."
577,Do you prefer sporty or academic members of the opposite sex?,I don't think so.
578,How much would it cost to buy your love?,$ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $
579,Who was your least favourite teacher at school and why?,He was my least favourite teacher.
580,"If you met a Genie who offered you three wishes, what would you wish for? (more wishes does not count)","That's what I was thinking, but I'm not sure if that's true."
581,Whats your current Mobile phone model and do you like it?,I like it.
582,Have you already thought about your babies names?,That's what I was thinking.
583,Have you ever been fishing?,"No, I've been fishing for a long time."
584,Have you ever had your national flag painted on your face?,I've never had a national flag painted on my face.
585,Do you have any strange body things?,I don't know what you're talking about.
586,What was the last social faux pas you made?,The last social fauxpas.
587,What makes you nostalgic?,I don't know what you're talking about.
588,What fairy tale character would you most associate with?,I don't know what you're talking about.
589,How much do you tend to swear in public?,I don't think I've ever heard of that.
590,What are your strengths?,"I don't know what you're talking about, I'm just curious."
591,What are your weaknesses?,"I don't know what you're talking about, but I don't know what I'm talking about."
592,"If you ruled your own country, who would you get to writer your national anthem?","I'm not sure if you're being sarcastic or not, but I don't know what you're talking about."
593,Who is the most intelligent person you know?,Who is the most intelligent person you know?
594,"If you had to describe yourself as a flavour, what would it be?",That's what I was thinking.
595,"If you had to describe yourself as a car, what would it be?",That's what I was thinking.
596,"If you had to describe yourself as an animal, what would it be?",That's what I was thinking.
597,Do you think laughing at someone elses misfortune is wrong?,I don't think so.
598,"If a loved one was to serenade you, what song would you most like them to sing?",I'd like to know what you're talking about.
599,Would you ever let your parents pick out a partner for you?,No I wouldn't.
600,Have you ever tried spam? (the meat product),I have not.
