,Question,Answer
650,If you could be trained up in any profession of your choice by top professionals what profession would you choose?,That's what I was thinking. I'm not sure if that's true or not.
651,If someone elses child was being an annoying little runt would you go tell them off or do something about it?,"I don't know why you're being down voted, it's just a matter of time."
652,Do you believe in kharma?,I believe in you.
653,Do you believe in revenge?,I believe in you.
654,Do you believe in fairies?,I believe in you.
655,Do you believe in a god?,Yes.
656,Do you believe there used to be dragons?,I don't believe you.
657,Who would you want to be with on a desert island?,I would love to be on a beach island.
658,What's the worst show on television?,"I don't know what you're talking about, but I'm pretty sure that's what it's called."
659,Who's your favourite god from ancient history?,He's from Ancient Rome.
664,What was the best thing about your old school?,I don't know what you're talking about.
665,What was the worst thing about your old school?,That's the worst thing I've ever heard.
666,If you could change your name to anything what would your new name be?,It's a new name.
667,Do you watch too much tv?,I don't know what you're talking about.
668,Have you ever planted a tree?,"No, I have not."
672,How often do you wash your ears?,I don't know what you're talking about.
673,Could you go out with someone who had a child from a previous relationship?,That's what I was thinking.
674,What was your first alcoholic drink?,My first drink.
675,What was your first job?,What was your first job?
676,What was your first car? (or what would you like it to be?),I'd like it to be my first car.
679,Who was your first teacher?,He was my first teacher.
680,Where did you go on your first ride on an airplane?,On an airplane.
681,Who was your first best friend?,He was my first friend.
682,What was your first detention for?,What was your first?
684,Who was your first kiss?,My first kiss.
686,What thing that you've made are you most proud of?,I'm pretty proud of you.
687,Could you ever be someones bodygaurd?,That's what I was thinking.
689,Do you like other people buying you clothes?,I don't think I've ever done that.
690,Have you ever brought a present for someone that they hated/disliked?,I've never heard of that.
692,Did you have any pretend or imaginary friends?,I did.
693,Have you ever seen a therapist/shrink?,I have not.
694,Have you ever carved a pumpkin?,I have not.
695,Would you say you are a good or bad influence to others?,"I'm not a good person, but I'm not a good person."
696,Do you prefer giving or recieving gifts/help etc,"I don't know what you're talking about, but I don't think it's worth it."
697,"If you were a member of the spice girls, what would your spice handle be?","I don't know what you're talking about, but I'm pretty sure that's what it's for."
699,If you could join any music group which would you want to join?,I'll join you.
700,What do your parents do?,"I don't know what I'm talking about, but I'm not sure if it's a good idea."
701,If you were a giant mega monster what city would you rampage?,"If you were a giant monster monster, you'd be a giant monster."
702,Did you ever have a treehouse as a kid?,I did.
703,Is your dad an embarassing dancer?,"No, he's my dad."
704,Do you plan to vote in the next election?,I don't think so.
705,If you could replace one bodypart with a super bionic replacement what bodypart and what features would the new bionic replacement have?,"I don't know why you're being down voted, it's a good idea."
706,What if any unusual objects have you swallowed?,That's what I was thinking.
707,When you buy something new do you get a desire to use/play with it even when they dont have any physical application yet?,"I don't get a desire to use it, but I don't think it's worth it."
708,Did you understand the Matrix Trilogy?,"No, I didn't."
709,Would you rather be the fella in a movie who gets the girl or the baddie with all the good lines?,That's what I was thinking.
710,"If you were stinking rich, would you only go to places other rich people went?",That's what I was thinking.
711,Would you rather have a mans top half and a womens bottom half or visa versa?,I'd rather have a woman top half.
712,"Rebound relationships, good or bad?","I don't think it's bad, but it's not like it's a bad thing."
713,Have you ever owned a slinky?,I have not.
714,"Teenage parents, good bad or indifferent?",Yes.
715,Whats the most expensive thing you've ever broken?,"I don't know what you're talking about, but I've never heard of that."
716,"Pirate downloads, good or bad?",I'm pretty sure that's what you're referring to.
717,"Democracy, good or bad?",I'm pretty sure that's what he meant.
718,"Communism, good or bad?",I'm pretty sure that's what you're referring to.
719,Have you ever been electrocuted?,I have not.
720,Have you ever been attacked with a creamy bakery product?,"I have not, but I've never heard of it."
721,Have you ever shawn a sheep?,I have not.
722,Have you ever accidentally set fire to yourself?,I have not.
723,Have you ever eaten a whole tube of pringles by yourself?,I have not.
724,Have you ever been hit on by someone of the same gender?,I have not.
725,"The war in Iraq, good or bad?",The war in Iraq.
726,"The war in Afganistan, good or bad?",I'm pretty sure that's what it's called.
728,Have you ever performed in front of a large audience?,No I haven't.
729,Have you ever eaten anything prepared by a celebrity chef?,I have not.
730,Have you ever been on radio?,"I've been on the radio for a long time, but I've never been on the radio."
731,Did your school make a teatowel that everyone submitted to?,"I'm not sure, but I'm not sure if that's what you meant."
733,Do you have to wear glasses?,"No, I don't wear glasses."
734,Do you bite your nails?,I don't bite my nails.
735,Do you prefer male or female singers voices?,I don't think so.
736,Would you rather be the worlds greatest football player or lover?,I'd rather be the worlds greatest football player in the world.
737,Do you get hayfever?,I don't get it.
739,Do you like your age?,I like you.
740,Whats your favourite physical thing you like about yourself?,I don't know what you're talking about.
741,Whats your least favourite physical thing you like about yourself?,I don't know what you're talking about.
742,"Are you proud, comfortable or ashamed of your body?",I don't know what you're talking about.
743,Whats your favourite personality trait you like about yourself?,"I don't know what you're talking about, but I don't know what you're talking about."
744,Whats your least favourite personality trait you like about yourself?,"I don't know what you're talking about, but I don't know what you're talking about."
746,Have you ever flown first class?,I've never flown first class.
747,How many languages do you speak?,"I'm not a native english speaker, so I'm not a native english speaker."
749,Whats the fastest you've ever driven? (as driver or passenger),I don't know why you're being down voted. It's a good thing.
751,What makes you angry?,What makes you angry?
754,What would you say is your favourite album of all time?,I'm pretty sure that's what you're referring to.
755,Do you dislike hairy people?,I hate hairy people.
756,Are you much of an adventurer?,I am an adventurer.
757,Do you like your own name?,I like your username.
758,Would you ever sign a Prenuptial agreement?,No I would not.
759,How long has your longest ever phone call been?,I've never heard of a phone call call call.
760,Have you ever stolen anything?,No I have not.
761,Could you ever have an affair with a married person?,I'm not sure if you're being sarcastic or not.
762,Could you ever split up a couple for one reason or another?,I don't think I've ever split up.
763,What is your family christmases like?,"I'm not sure, but I'm not sure if that's what you're referring to."
764,Do you prefer sporty or academic members of the opposite sex?,I don't think so.
765,How much would it cost to buy your love?,$ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $ $
766,Who was your least favourite teacher at school and why?,He was my least favourite teacher.
767,"If you met a Genie who offered you three wishes, what would you wish for? (more wishes does not count)","That's what I was thinking, but I'm not sure if that's true."
768,Whats your current Mobile phone model and do you like it?,I like it.
769,Have you already thought about your babies names?,That's what I was thinking.
770,Have you ever been fishing?,"No, I've been fishing for a long time."
771,Have you ever had your national flag painted on your face?,I've never had a national flag painted on my face.
772,Do you have any strange body things?,I don't know what you're talking about.
773,What was the last social faux pas you made?,The last social fauxpas.
774,What makes you nostalgic?,I don't know what you're talking about.
776,What fairy tale character would you most associate with?,I don't know what you're talking about.
777,How much do you tend to swear in public?,I don't think I've ever heard of that.
778,What are your strengths?,"I don't know what you're talking about, I'm just curious."
779,What are your weaknesses?,"I don't know what you're talking about, but I don't know what I'm talking about."
781,"If you ruled your own country, who would you get to writer your national anthem?","I'm not sure if you're being sarcastic or not, but I don't know what you're talking about."
782,Who is the most intelligent person you know?,Who is the most intelligent person you know?
786,"If you had to describe yourself as a flavour, what would it be?",That's what I was thinking.
787,"If you had to describe yourself as a car, what would it be?",That's what I was thinking.
788,"If you had to describe yourself as an animal, what would it be?",That's what I was thinking.
789,Do you think laughing at someone elses misfortune is wrong?,I don't think so.
790,"If a loved one was to serenade you, what song would you most like them to sing?",I'd like to know what you're talking about.
791,Would you ever let your parents pick out a partner for you?,No I wouldn't.
792,Have you ever tried spam? (the meat product),I have not.
